               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053006,            0.010303,           0.0088023,              0.8945,             0.92593,             0.96256,             0.42626,             0.04318,           0.0075825,           0.0052146,              0.0991,              0.0001,              0.0001
                   1,            0.044236,           0.0092962,            0.011062,             0.87957,             0.92593,             0.96364,             0.48723,            0.036507,           0.0074792,           0.0052265,            0.097299,          0.00029941,          0.00029941
                   2,            0.040387,            0.011399,             0.01002,             0.88478,             0.92593,             0.96486,             0.54295,            0.031277,           0.0073485,           0.0052283,            0.095498,          0.00049802,          0.00049802
                   3,            0.038569,            0.011124,           0.0088626,             0.94491,             0.93444,             0.98426,             0.59152,            0.030757,           0.0072567,            0.005212,            0.093696,          0.00069584,          0.00069584
                   4,            0.036717,            0.011915,           0.0087299,             0.96333,             0.99093,               0.995,             0.64019,            0.029954,           0.0072212,           0.0051756,            0.091893,          0.00089287,          0.00089287
                   5,            0.029176,            0.010465,           0.0090362,             0.97062,             0.99608,               0.995,             0.66463,            0.029313,           0.0072835,           0.0051117,            0.090089,           0.0010891,           0.0010891
                   6,            0.034892,            0.011583,           0.0098221,             0.97223,             0.99731,               0.995,             0.69679,            0.027791,            0.007253,            0.005034,            0.088285,           0.0012846,           0.0012846
                   7,            0.034706,            0.012384,            0.010081,             0.97615,                   1,               0.995,             0.69313,            0.026322,           0.0072259,           0.0049798,            0.086479,           0.0014792,           0.0014792
                   8,            0.031306,            0.010508,           0.0081772,             0.97676,                   1,               0.995,             0.72294,            0.028326,           0.0071963,           0.0049627,            0.084673,           0.0016731,           0.0016731
                   9,             0.03133,           0.0097858,            0.007437,             0.97628,                   1,               0.995,             0.71768,             0.02613,           0.0071581,           0.0049606,            0.082866,           0.0018661,           0.0018661
                  10,             0.03341,            0.011981,           0.0076476,             0.97995,                   1,               0.995,             0.70892,            0.027299,           0.0071868,           0.0049387,            0.081058,           0.0020584,           0.0020584
                  11,            0.035455,            0.012018,           0.0089153,             0.97907,                   1,               0.995,             0.68243,             0.02726,           0.0071988,           0.0049159,             0.07925,           0.0022499,           0.0022499
                  12,            0.031578,            0.011016,           0.0068867,             0.98125,                   1,               0.995,             0.72633,            0.027843,           0.0071098,           0.0048901,            0.077441,           0.0024406,           0.0024406
                  13,            0.030107,            0.011962,           0.0084068,             0.98229,                   1,               0.995,             0.72988,            0.024645,           0.0070595,           0.0048262,            0.075631,           0.0026305,           0.0026305
                  14,             0.03117,            0.014033,           0.0082732,             0.98459,                   1,               0.995,             0.70399,            0.026545,           0.0070897,             0.00479,             0.07382,           0.0028196,           0.0028196
                  15,            0.034698,            0.010751,           0.0088585,             0.98437,                   1,               0.995,             0.71413,            0.029711,           0.0069839,           0.0047302,            0.072008,           0.0030079,           0.0030079
                  16,             0.03149,            0.011553,           0.0079219,             0.98435,                   1,               0.995,             0.70844,             0.02557,           0.0069951,           0.0046702,            0.070195,           0.0031955,           0.0031955
                  17,            0.034091,            0.011486,           0.0074442,             0.98258,                   1,               0.995,             0.65368,              0.0281,           0.0069661,           0.0046189,            0.068382,           0.0033822,           0.0033822
                  18,            0.036125,           0.0099728,           0.0080796,              0.9814,                   1,               0.995,             0.64949,            0.034345,           0.0068958,           0.0046056,            0.066568,           0.0035681,           0.0035681
                  19,            0.037433,            0.013556,           0.0079379,             0.98014,                   1,               0.995,             0.63269,            0.028406,           0.0068605,            0.004597,            0.064753,           0.0037533,           0.0037533
                  20,            0.031993,            0.012882,           0.0076396,             0.98241,                   1,               0.995,             0.69498,            0.026909,           0.0067008,           0.0045777,            0.062938,           0.0039376,           0.0039376
                  21,            0.032882,           0.0094719,           0.0074382,             0.98392,                   1,               0.995,             0.70522,            0.028037,           0.0066262,           0.0045513,            0.061121,           0.0041212,           0.0041212
                  22,            0.038118,            0.012189,           0.0077494,             0.97426,             0.99734,               0.995,             0.65273,            0.030983,            0.006654,           0.0045105,            0.059304,            0.004304,            0.004304
                  23,             0.03692,            0.011521,           0.0067796,             0.97843,             0.99736,               0.995,             0.72005,              0.0276,           0.0065528,           0.0044778,            0.057486,            0.004486,            0.004486
                  24,            0.037619,            0.010627,           0.0057747,             0.96305,                   1,               0.995,             0.61642,            0.031958,           0.0065512,           0.0044897,            0.055667,           0.0046672,           0.0046672
